id,type,name,brand,latitude,longitude,shop,street,housenumber,postcode,city,phone,website,email,opening_hours,description,operator,wheelchair,parking
292092618,node,EDEKA,Edeka,52.5254295,13.4657308,supermarket,Franz-Jacob-Straße,4,10369,Berlin,,,,Mo-Sa 07:00-22:00,,,yes,
293244992,node,EDEKA,Edeka,52.560815,13.3654858,supermarket,,,,,,,,Mo-Sa 07:00-21:00,,,yes,
294036281,node,EDEKA Iden,Edeka,52.5947516,13.3352782,supermarket,Wilhelmsruher Damm,231,13435,Berlin,+49 30 40999680,https://www.edeka.de/,,Mo 07:00-24:00; Tu-Fr 00:00-24:00; Sa 00:00-23:00,,,yes,
313080918,node,Edeka Neue Kantstraße,Edeka,52.5065505,13.2930747,supermarket,Neue Kantstraße,29-30,14057,Berlin,,,,Mo-Sa 07:00-22:00,,Edeka,yes,
315801862,node,EDEKA Martin-Luther-Straße,Edeka,52.4920032,13.3447835,supermarket,Martin-Luther-Straße,52-54,10779,Berlin,,,,Mo-Sa 07:00-22:00,,,yes,
316772479,node,Edeka,Edeka,52.5890882,13.284848,supermarket,Berliner Straße,96,13507,Berlin,,,,Mo-Sa 07:00-22:00; PH off,,Elvira Zech e.K.,yes,
317991364,node,EDEKA Kelz,Edeka,52.5160549,13.4406783,supermarket,Straße der Pariser Kommune,38,10243,Berlin,+49 30 29492760,https://www.edeka.de/,,"Mo-Sa 08:00-20:00; Su,PH off",,EDEKA Kelz,yes,
319584630,node,EDEKA,Edeka,52.52261,13.4284778,supermarket,,,,,,,,Mo-Sa 07:00-21:00,,,yes,
333434552,node,EDEKA,Edeka,52.4770848,13.4230134,supermarket,Herrfurthplatz,12,12049,,,https://www.edeka.de/eh/minden-hannover/edeka-herrfurthplatz-herrfurthplatz-12/index.jsp,,Mo-Sa 07:00-21:00,,Edeka,yes,
352905900,node,Edeka Siegler,Edeka,52.4856563,13.3568344,supermarket,Richard-von-Weizsäcker-Platz,1-2,10827,Berlin,,,,Mo-Sa 08:00-20:00,,,yes,
371817090,node,EDEKA,Edeka,52.5301247,13.3373959,supermarket,Wiclefstraße,60-62,10551,Berlin,,,,Mo-Sa 08:00-20:00,,Vaupel GmbH,yes,
410135899,node,Edeka Vaupel,Edeka,52.4905527,13.4342449,supermarket,,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-20:00,,Vaupel GmbH,limited,
417019740,node,Edeka Peth,Edeka,52.5498309,13.4588499,supermarket,Berliner Allee,100,13088,Berlin,,,,Mo-Sa 07:00-20:00,,,limited,
417021873,node,Edeka Ostseestraße,Edeka,52.546533,13.4429678,supermarket,Ostseestraße,107-109,10409,Berlin,,,,Mo-Sa 07:00-21:00,,Edeka,yes,
418632158,node,Edeka Nah und Gut,Edeka,52.5420785,13.4198029,supermarket,,,,,,,,Mo-Sa 07:30-23:00,,Mike Bülow,limited,
418632161,node,nah und gut,Edeka,52.5426683,13.4183617,supermarket,,,,,,,,"Mo-Th 08:00-23:00; Fr,Sa 08:00-22:00",,Edeka,limited,
442394340,node,Edeka Prang,EDEKA,52.4453501,13.386125,supermarket,Mariendorfer Damm,81,12109,Berlin,,http://mein.edeka.de/eh/de/minden_hannover/6608/,,Mo-Sa 08:00-22:00,,Katja Prang e.K.,yes,
448814806,node,EDEKA,Edeka,52.5260753,13.422959,supermarket,Barnimstraße,18,10249,Berlin,+49 30 24729176,,,Mo-Sa 07:00-22:00,,,yes,
452002193,node,nah und gut Brabanski,Edeka,52.4653103,13.3831859,supermarket,Alt-Tempelhof,31-33,12103,Berlin,,,,Mo-Sa 08:00-20:00,,,limited,
471301175,node,EDEKA,Edeka,52.4088869,13.5719986,supermarket,Buntzelstraße,14,12526,Berlin,+49-30-67804706,,,Mo-Sa 07:00-21:00,,EDEKA Hüntemann,yes,
482585492,node,Edeka,Edeka,52.4917705,13.3547337,supermarket,Barbarossastraße,69,10781,Berlin,+49 30 2162940,http://mein.edeka.de/eh/de/minden_hannover/481/m2000,,Mo-Sa 07:00-21:00,,Edeka Schrader,yes,
505996681,node,EDEKA,Edeka,52.4939285,13.3839687,supermarket,Yorckstraße,14,,,,,,Mo-Sa 07:00-22:00,,,limited,
552357231,node,Edeka,Edeka,52.5752904,13.2837641,supermarket,Bernauer Straße,69-73,13507,Berlin,+493043743980,https://www.edeka.de/eh/minden-hannover/edeka-ulrich-bernauer-str.-69-73/index.jsp,edeka.ulrich.berlin@minden.edeka.de,Mo-Sa 07:00-22:00,,Ulrich,yes,
560903128,node,Edeka Center Tempelhof,EDEKA,52.4559449,13.3871535,supermarket,Tempelhofer Damm,227,12099,Berlin,,,,Mo-Sa 08:00-21:00,,EDEKA Minden-Hannover Stiftung & Co. KG,yes,
624360866,node,EDEKA,Edeka,52.4908116,13.3356896,supermarket,Jenaer Straße,27,10717,Berlin,,,,Mo-Sa 07:00-22:00,,Edeka,limited,
634912181,node,EDEKA,Edeka,52.4759438,13.2901303,supermarket,,,,,,https://www.edeka.de/eh/minden-hannover/edeka-berkaer-stra%C3%9Fe-berkaer-str.-1/startseite.jsp,,Mo-Sa 07:00-20:30,,,yes,
652049372,node,...nah und gut,Edeka,52.4243206,13.4363341,supermarket,,,,,,,,Mo-Sa 08:00-20:00,,,limited,
652570198,node,EDEKA,Edeka,52.5035654,13.4036492,supermarket,Ritterstraße,38-40,10969,Berlin,,https://www.edeka.de,,Mo-Sa 07:00-22:00,,EDEKA Minden-Hannover Stiftung & Co. KG,limited,
667211334,node,Edeka Reichsstraße,Edeka,52.5129578,13.2656846,supermarket,Reichsstraße,94,14052,Berlin,,https://www.edeka.de,,Mo-Sa 07:00-22:00,,,yes,
667211372,node,Edeka,Edeka,52.5185318,13.2571181,supermarket,,,,,,,,Mo-Sa 07:00-20:00,,,yes,
667211402,node,Edeka Laurman,Edeka,52.5169689,13.2615696,supermarket,Steubenplatz,4,14050,Berlin,,,,Mo-Sa 07:00-22:00,,,yes,
674100930,node,EDEKA,Edeka,52.5339033,13.195608,supermarket,,,,,,,,Mo-Sa 07:00-22:00,,,yes,
695831680,node,Edeka,EDEKA,52.4891517,13.2941908,supermarket,Salzbrunner Straße,18-20,14193,Berlin,,,,Mo-Sa 07:00-21:00,,EDEKA Minden-Hannover Stiftung & Co. KG,yes,
709045955,node,EDEKA,Edeka,52.493546,13.3324318,supermarket,,,,,,,,Mo-Sa 06:30-22:00,,,yes,
715040103,node,Edeka Gäth,EDEKA,52.4506573,13.3399913,supermarket,Steglitzer Damm,24,12169,Berlin,+49 30 79744490,,edeka.gaeth.berlin@minden.edeka.de,Mo-Sa 07:00-20:00,,,yes,
715911673,node,nah und gut,Edeka,52.5049147,13.2974596,supermarket,Leonhardtstraße,22,14057,Berlin,,,,,,,limited,
718143847,node,Nah und gut,Edeka,52.5062441,13.2840108,supermarket,,,,,,,,Mo-Sa 08:00-20:00,,,,
728689944,node,nah und gut,Edeka,52.4979503,13.3350954,supermarket,Geisbergstraße,22,10777,Berlin,,,,Mo-Sa 08:00-20:00,,,yes,
747081734,node,Edeka Am Brunsi,Edeka,52.5338138,13.1676748,supermarket,Brunsbütteler Damm,196,13581,Berlin,,,,"Mo-Sa 07:00-22:00; Su,PH off",,Edeka,yes,
768671097,node,EDEKA,Edeka,52.4827099,13.5274287,supermarket,Rheinsteinstraße,4-12,10318,Berlin,,,,Mo-Sa 07:00-23:00,,,yes,
808406147,node,EDEKA P. Erler,Edeka,52.6328875,13.287041,supermarket,Ludolfingerplatz,6,13465,,,,,Mo-Sa 07:00-20:00,,Kuhnholdt,yes,
808406149,node,EDEKA Colombino,Edeka,52.6329513,13.2907953,supermarket,Zeltinger Platz,8,13465,,,,,Mo-Sa 08:00-20:00,,Colombino e.K.,yes,
988558155,node,Edeka,Edeka,52.5319137,13.3444505,supermarket,Stephanstraße,37-43,10559,Berlin,,https://www.edeka.de/,,Mo-Sa 07:00-22:00,,EDEKA,yes,
1008550282,node,EDEKA,Edeka,52.5469822,13.1862505,supermarket,,,,,,,,,,,yes,
1039403106,node,nah und gut,Edeka,52.4673513,13.3109506,supermarket,Kreuznacher Straße,68,14197,Berlin,,,,Mo-Sa 08:00-20:00,,,yes,
1110336185,node,EDEKA,Edeka,52.5144935,13.4737376,supermarket,Frankfurter Allee,105,10247,Berlin,,,,Mo-Sa 08:00-21:00; PH off,,,yes,
1193352453,node,EDEKA Yaras,Edeka,52.4349946,13.3891249,supermarket,Mariendorfer Damm,186,12107,Berlin,,,e800242@minden.edeka.de,"Mo-Sa 07:00-22:00; PH,Su off",,Sinan Yaras e.K.,yes,
1370691440,node,Edeka Fromm,Edeka,52.5526675,13.3476614,supermarket,Müllerstraße,127,13349,Berlin,,,,Mo-Sa 08:00-22:00,,,yes,
1394709850,node,nah und gut,Edeka,52.5414602,13.2618045,supermarket,Rohrdamm,,13629,Berlin,,,,,,,yes,
1415880278,node,EDEKA Kiemarkt,Edeka,52.5278268,13.3917759,supermarket,Torstraße,206,10115,Berlin,,,,Mo-Sa 08:00-22:00,,Kiezmarkt LH GmbH & Co. KG,limited,
1417005880,node,...nah und gut,Edeka,52.4018551,13.54297,supermarket,Ehrenfelder Platz,3,12524,Berlin,+49 30 67909300,,,Mo-Fr 08:00-20:00; Sa 08:00-16:00,,Janoschek,yes,
1718182244,node,EDEKA Stadie,Edeka,52.5425148,13.197201,supermarket,Flankenschanze,32,13585,Berlin,,,edeka.stadie.spandau@minden.edeka.de,Mo-Sa 07:00-21:00,,,yes,
1776155102,node,Edeka M. Fiebig,Edeka,52.4916049,13.4232761,supermarket,Kottbusser Damm,80,10967,Berlin,+49306937139,https://www.edeka.de/eh/minden-hannover/edeka-fiebig-kottbusser-damm-80/,edeka.fiebig.kottbusserdamm@minden.edeka.de,Mo-Sa 08:00-20:00,,,yes,
1809578947,node,EDEKA,Edeka,52.5434199,13.2406593,supermarket,Gartenfelder Straße,86,13599,Berlin,,,,Mo-Sa 07:00-22:00,,,yes,
1871927027,node,EDEKA,Edeka,52.485689,13.3617579,supermarket,Kolonnenstraße,10,10829,Berlin,,https://nah-und-gut-fischer.de/,,Mo-Sa 08:00-18:00,,,yes,
1915389756,node,EDEKA,Edeka,52.5169837,13.30707,supermarket,Otto-Suhr-Allee,105,10585,Berlin,,,,Mo-Sa 07:00-22:00,,,yes,
1946787755,node,EDEKA,Edeka,52.5362791,13.4183615,supermarket,,,,,,https://www.edeka.de/eh/minden-hannover/edeka-hennig-kollwitzstr.-68/index.jsp,,Mo-Sa 07:00-21:00,,Ingo Hennig,yes,
1995346097,node,EDEKA,Edeka,52.4229979,13.4762316,supermarket,Joachim-Gottschalk-Weg,23,12353,Berlin,,,,Mo-Sa 07:00-22:00,,,yes,
2013009700,node,Edeka Brehm City,Edeka,52.4945118,13.4208245,supermarket,,,,,,,,Mo-Sa 08:00-20:00,,Stefanie Brehm,yes,
2047765230,node,EDEKA,Edeka,52.4378334,13.2626638,supermarket,Clayallee,330,14169,Berlin,,,,Mo-Sa 07:00-22:00,,,yes,
2050365795,node,EDEKA,Edeka,52.515536,13.468728,supermarket,Rigaer Straße,44,10247,Berlin,030 41723680,,,Mo-Sa 07:00-23:00,,,yes,
2082343419,node,EDEKA Wilmersdorfer Straße,Edeka,52.5097406,13.305296,supermarket,Wilmersdorfer Straße,,10627,Berlin,,,,"Mo-Sa 09:00-22:00; Su,PH off",,Edeka,yes,
2086361728,node,Gneisenau Markt,Edeka,52.4914049,13.3967142,supermarket,Gneisenaustraße,84,10961,Berlin,+49 30 6936126,https://www.edeka.de/,,Mo-Fr 07:00-20:00; Sa 08:00-21:00,,,yes,
2140006472,node,Edeka Schmitt,Edeka,52.5671908,13.4105009,supermarket,,1,13187,Berlin,,,,Mo-Sa 06:00-23:00,,,yes,
2183538439,node,nah und gut,Edeka,52.4950862,13.3235476,supermarket,Düsseldorfer Straße,74,10719,Berlin,,,,Mo-Fr 08:00-20:00; Sa 08:00-18:00,,,yes,
2286174929,node,EDEKA Meissner an der Nolle,Edeka,52.4989336,13.3545583,supermarket,Nollendorfplatz,8-9,10777,Berlin,+49 30 21751895,https://www.edeka.de/eh/minden-hannover/edeka-meissner-nollendorfplatz-8-9/,,Mo 07:00-24:00; Tu-Fr 00:00-24:00; Sa 00:00-23:30,,,yes,
2347507117,node,EDEKA Jost,Edeka,52.5061041,13.3203142,supermarket,Kantstraße,24,10623,Berlin,,,,Mo-Fr 07:30-20:00; Sa 07:00-20:00,,Edeka Jost & Jost OHG,yes,
2376977543,node,EDEKA,Edeka,52.5176758,13.290531,supermarket,Danckelmannstraße,57-60,14059,Berlin,,,,Mo-Sa 07:00-22:00,,Edeka,limited,
2495554577,node,Edeka Bergmannstraße,Edeka,52.4896784,13.3884205,supermarket,Bergmannstraße,5,10961,Berlin,,https://www.edeka.de/eh/minden-hannover/edeka-bergmannstra%C3%9Fe-bergmannstr.-5-7/index-2.jsp,,Mo-Fr 07:00-24:00; Sa 07:00-23:30; PH off,,EDEKA Minden-Hannover Stiftung & Co. KG,yes,
2782835422,node,EDEKA,Edeka,52.6072867,13.3264979,supermarket,Oraniendamm,6-10,13469,Berlin,,,,Mo-We 07:00-20:00; Th-Sa 07:00-21:00,,,yes,
2850406401,node,EDEKA,Edeka,52.4711485,13.3203023,supermarket,Laubacher Straße,13,14197,Berlin,,,,Mo-Fr 08:00-19:00; Sa 08:00-14:00; PH off,,,limited,
2853634779,node,Edeka,Edeka,52.4283689,13.5844098,supermarket,Wendenschloßstraße,324,12557,Berlin,,,,"Mo-Sa 07:00-22:00; Su,PH off",,,yes,
3618538618,node,EDEKA Residenzstraße,Edeka,52.5669709,13.3613922,supermarket,Residenzstraße,34,13409,Berlin,,,,Mo-Sa 07:00-20:00,,Edeka,yes,
3672738935,node,Edeka,Edeka,52.4550765,13.1439156,supermarket,Kladower Damm,366 B,14089,Berlin,+493036433134,https://www.edeka.de/eh/minden-hannover/edeka-theuerkauf-kladower-damm-366b/index.jsp,,Mo-Sa 07:00-21:00,,Edeka,yes,
3862782311,node,EDEKA,Edeka,52.5005138,13.3222176,supermarket,Knesebeckstraße,56,10719,Berlin,,,,"Mo-Fr 08:00-24:00; Sa 08:00-23:30; Su,PH off",,Edeka,yes,
3889187276,node,EDEKA,Edeka,52.5291922,13.4135783,supermarket,Straßburger Straße,9A-C,10405,Berlin,+49 30-24627615,https://www.edeka.de/,,Mo-Sa 08:00-22:00,,,yes,
3964762128,node,Edeka Tempelhofer Damm,Edeka,52.4585848,13.3828398,supermarket,Tempelhofer Damm,198,12099,Berlin,,http://mein.edeka.de/eh/de/minden_hannover/6651/,,Mo-Sa 07:00-22:00,,Edeka Minden-Hannover Stiftung & Co. KG,yes,
3987051062,node,EDEKA,Edeka,52.5186498,13.4164837,supermarket,,,,Berlin,,,,Mo-Sa 08:00-21:00,,,yes,
3989777458,node,Edeka,EDEKA,52.5197889,13.4503543,supermarket,Eckertstraße,7-11,10249,Berlin,,,,"Mo-Sa 07:00-21:00; Su,PH off",,Nancy Schnelle,yes,
4553089244,node,EDEKA,Edeka,52.5221765,13.1638589,supermarket,Obstallee,28-30,13593,Berlin,,,,Mo-Sa 07:00-20:00; PH off,,,yes,
4630466564,node,Edeka,Edeka,52.5669682,13.3485717,supermarket,,,,,,,,"Mo-Fr 07:30-19:00, Sa 07:30-16:00",,Nah und Gut,,
4848074537,node,EDEKA,Edeka,52.4627571,13.3240444,supermarket,Schloßstraße,10,12163,Berlin,+49 30 51655399,https://www.edeka.de/eh/minden-hannover/edeka-schlo%C3%9Fstra%C3%9Fe-schlo%C3%9Fstr.-10-boulevard-berlin/index.jsp,,"Mo-Sa 08:00-21:00; Su,PH off",,,yes,
4892038733,node,Edeka Sapphire,Edeka,52.5342508,13.3787546,supermarket,Chausseestraße,43,10115,Berlin,+49 30 25763150,https://www.edeka.de/eh/minden-hannover/edeka-sapphire-chausseestr.-43/index.jsp,e402574@minden.edeka.de,Mo-Sa 07:00-21:00,,,yes,
5322104714,node,EDEKA,Edeka,52.5370546,13.2721745,supermarket,Jungfernheideweg,2,13629,Berlin,+49 (0)30 3670 0990,,,Mo-Sa 07:00-22:00,,,yes,
5426133815,node,EDEKA,Edeka,52.4952288,13.3416349,supermarket,Viktoria-Luise-Platz,10,10777,Berlin,+49 30 21018755,,,"Mo-Sa 07:00-21:00; Su,PH closed",,,yes,
5505144606,node,EDEKA Burau,Edeka,52.4797483,13.3267804,supermarket,Mainzer Straße,13,10715,Berlin,+49 30 8533090,,,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su off,,,yes,
6277944473,node,EDEKA,Edeka,52.5077376,13.5131475,supermarket,Massower Straße,5,10315,Berlin,+49 30 51061729,https://www.edeka.de/eh/minden-hannover/edeka-lichtenberg-massower-str.-5/index.jsp,,Mo-Sa 07:00-22:00,,EDEKA,yes,
6405908039,node,EDEKA,Edeka,52.4918563,13.4326134,supermarket,Maybachufer,36-38,12047,Berlin,,,,Mo-Sa 07:00-22:00,,Lawrenz,yes,
6595730361,node,EDEKA,Edeka,52.5320129,13.4078491,supermarket,Templiner Straße,12,10119,Berlin,,,,Mo-Sa 07:00-23:00,,,yes,
6754031358,node,Edeka Genthiner Straße,Edeka,52.5021129,13.3584107,supermarket,Genthiner Straße,42,10785,Berlin,,,,Mo-Sa 07:00-22:00,,,yes,
6808350137,node,EDEKA,Edeka,52.5273276,13.3729712,supermarket,Invalidenstraße,74,10557,Berlin,,,,Mo-Sa 07:00-21:00,,Edeka,yes,
7658861472,node,EDEKA,Edeka,52.5023465,13.3855468,supermarket,Stresemannstraße,52,10963,Berlin,,,,Mo-Fr 07:00-24:00; Sa 07:00-23:30,,,limited,
8693899527,node,EDEKA Fromm,Edeka,52.5428586,13.3658942,supermarket,Müllerstraße,12 a-c,13353,Berlin,+493043733785,https://www.edeka.de/eh/minden-hannover/edeka-fromm-m%C3%BCllerstr.-12a-c/index.jsp,edeka.fromm.405160@minden.edeka.de,Mo-Sa 07:00-22:00,,,yes,
8825296305,node,EDEKA Schnelle,Edeka,52.496736,13.4667344,supermarket,Alt-Stralau,66,10245,Berlin,,https://www.edeka.de/eh/minden-hannover/edeka-schnelle-alt-stralau-66/index.jsp,,Mo-Sa 07:00-21:00,,,yes,
9045204695,node,E-Center,Edeka,52.5243627,13.403102,supermarket,Rosenthaler Straße,43-45,10178,Berlin,,,,Mo-Sa 08:00-22:00,,,yes,
9154787137,node,Edeka Schaaf,Edeka,52.5174568,13.4206829,supermarket,Schillingstraße,2,10179,Berlin,,,,Mo-Sa 07:00-22:00,,,yes,
9268122917,node,EDEKA Schmitt,Edeka,52.4967809,13.2903425,supermarket,Seesener Straße,31,10711,Berlin,+49 30 88667641,https://www.edeka.de/eh/minden-hannover/edeka-schmitt-seesener-str.-31/index.jsp,,Mo-Sa 06:00-23:00,,Schmitt,yes,
9320920749,node,nah und gut,Edeka,52.5987496,13.3429357,supermarket,Eichhorster Weg,25,13435,Berlin,+49 30 40728191,,,Mo-Sa 07:00-22:00,,Özbek & Batur oHG,,
9550624125,node,EDEKA Görse & Meichsner,Edeka,52.4770954,13.3329979,supermarket,Handjerystraße,99,12159,Berlin,+49 30 23628005,https://www.edeka.de/eh/minden-hannover/edeka-g%C3%B6rse-meichsner-handjerystr.-98-99/index-2.jsp,e407887@minden.edeka.de,Mo-Sa 07:00-22:00,,,yes,
9561434407,node,EDEKA Meissner,Edeka,52.5118228,13.3143192,supermarket,Leibnizstraße,96,10625,Berlin,,,,"Mo-Sa 07:00-22:00; Su,PH off",,,,
9881679117,node,Edeka,EDEKA,52.4761489,13.3625151,supermarket,Hedwig-Dohm-Straße,4,10829,,+493041400242,https://www.edeka.de/eh/minden-hannover/edeka-am-s%C3%BCdkreuz-hedwig-dohm-str.-4/index.jsp,,Mo-Sa 07:00-21:00,,,yes,
10035991556,node,Edeka Marienburger Straße,Edeka,52.5339932,13.4261824,supermarket,Winsstraße,18-20,10405,Berlin,,https://www.edeka.de/,,Mo-Fr 07:00-24:00; Sa 07:00-23:30; PH off,,,yes,
10057200163,node,E-Center,Edeka,52.4646955,13.3265184,supermarket,Schloßstraße,1,12163,Berlin,,,,,,,,
10113359153,node,Edeka Treugut,Edeka,52.4979385,13.3630995,supermarket,,,,,,,,Mo-Sa 07:00-22:00,,,yes,
10279617097,node,EDEKA,Edeka,52.5375317,13.405478,supermarket,Fürstenberger Straße,8,10435,Berlin,+49 30 20977919,,e404139@minden.edeka.de,Mo-Fr 07:00-22:00,,Vierte EDEKA-Markt Berlin GmbH,limited,
11134671308,node,EDEKA Zahl,Edeka,52.5201626,13.3198466,supermarket,Helmholtzstraße,3 c,10587,Berlin,,,,Mo-Sa 07:00-22:00,,Edeka Zahl,yes,
11191196418,node,Edeka Lenkeit,EDEKA,52.4395336,13.4093372,supermarket,An der alten Gärtnerei,1,12109,Berlin,+49 30 586930950,,e800810@minden.edeka.de,Mo-Sa 07:00-21:00,,,,
11256118796,node,EDEKA Gayermann,Edeka,52.4154025,13.4062078,supermarket,Marienfelder Chaussee,143,12349,Berlin,+49 30 7425060,https://www.edeka.de/eh/minden-hannover/edeka-gayermann-marienfelder-chaussee-143,e407727@minden.edeka.de,Mo-Sa 07:00-22:00,,Edeka Gayermann,yes,
11504226612,node,EDEKA Skalitzer Straße,Edeka,52.4993451,13.4222008,supermarket,Skalitzer Straße,122,10999,Berlin,+49 30 33308719,https://www.edeka.de/eh/minden-hannover/edeka-skalitzer-stra%C3%9Fe-skalitzer-str.-122/index.jsp,e800983@minden.edeka.de,Mo-Sa 07:00-22:00,,Vierte EDEKA-Markt Berlin GmbH,yes,
12549891646,node,Nah und Gut,Edeka,52.436621,13.215871,supermarket,Breisgauer Straße,20,14129,Berlin,03080109143,,,Mo-Fr 08:00-20:00 Sa 08:00-18:00,,DelikatEssen Discounter GmbH&Co.KG,,
12568075035,node,EDEKA Kelz,Edeka,52.5142024,13.4379257,supermarket,Franz-Mehring-Platz,6,10243,Berlin,+49 3084418726,https://www.edeka.de/eh/minden-hannover/edeka-kelz-franz-mehring-platz-6/index.jsp,,Mo-Sa 07:00-21:00,,,,
12636047385,node,Edeka,Edeka,52.4795197,13.4375275,supermarket,,,,,,,,Mo-Sa 07:00-22:00,,,yes,
12703360202,node,EDEKA Korkmaz,Edeka,52.5255904,13.301564,supermarket,Osnabrücker Straße,27,10589,,,https://www.edeka.de/,,Mo-Sa 09:00-21:00,,,,
12917162101,node,Edeka,,52.5687098,13.5169909,supermarket,Falkenberger Chaussee,99,13059,,,,,,,,,
12956133299,node,EDEKA,Edeka,52.5311733,13.3618836,supermarket,Lehrter Straße,24,10557,Berlin,+49 30 340429360,,,Mo-Sa 07:00-21:00,,Ingo Hennig,yes,
10672229,way,Edeka,Edeka,52.5701529,13.3279346,supermarket,Auguste-Viktoria-Allee,,13403,Berlin,+4930 4174928 0,https://www.edeka.de,,Mo-Sa 07:00-22:00,,,yes,
23286115,way,EDEKA Peth,Edeka,52.5630521,13.3430635,supermarket,Holländerstraße,70,13407,Berlin,,,,Mo-Fr 07:00-19:00; Sa 07:00-18:00,,,yes,
24754887,way,Edeka,Edeka,52.6183685,13.2390611,supermarket,Ruppiner Chaussee,301,13503,Berlin,+49 30 43662800,https://www.edeka.de/eh/minden-hannover/edeka-tozlu-ruppiner-chaussee-301/index.jsp,,Mo-Sa 07:00-22:00,,Dritte E Reichelt Supermarkt GmbH,yes,
24862236,way,Edeka Berliner Straße,Edeka,52.486936,13.3255453,supermarket,Berliner Straße,25,10715,Berlin,+493086391920,https://www.edeka.de/eh/minden-hannover/edeka-berliner-straße-berliner-str.-24-25/index.jsp,,Mo 07:00-24:00; Tu-Fr 00:00-24:00; Sa 00:00-23:00,,,yes,
26222734,way,EDEKA Schnelle,Edeka,52.5148708,13.4312613,supermarket,Andreasstraße,59,10243,Berlin,,https://www.edeka.de/eh/minden-hannover/edeka-schnelle-andreasstr.-59/index.jsp,,Mo-Sa 07:00-21:00,,,yes,
27481237,way,EDEKA Colombino,Edeka,52.4208767,13.3138943,supermarket,Hildburghauser Straße,252,12207,Berlin,+49 30 206131910,https://www.edeka.de/eh/minden-hannover/edeka-colombino-hildburghauser-str.-244-252/index.jsp,,Mo-Sa 08:00-20:00,,,yes,
30969196,way,EDEKA Brieger Straße,Edeka,52.4332494,13.3598162,supermarket,Brieger Straße,1,12249,Berlin,+49 30 76689643,https://www.edeka.de/eh/minden-hannover/edeka-brieger-stra%C3%9Fe-brieger-str.-1/index-2.jsp,e409504@minden.edeka.de,"Mo-Sa 07:00-21:00; Su,PH off",,,yes,
39444308,way,EDEKA,Edeka,52.4266362,13.4486607,supermarket,,,,,,,,Mo-Sa 07:00-22:00,,Edeka,yes,
40937999,way,EDEKA,Edeka,52.6096769,13.328829,supermarket,,,,,,,,PH off; Mo-Sa 07:00-22:00,,,,
41968204,way,EDEKA Colombino,Edeka,52.4358093,13.274282,supermarket,Sundgauer Straße,109,14167,Berlin,,http://www.reichelt-berlin.de/,,Mo-Sa 07:00-22:00,,,yes,
42049737,way,EDEKA,Edeka,52.5136372,13.5177049,supermarket,Rhinstraße,17,10315,Berlin,+493051061223,https://www.edeka.de/eh/minden-hannover/edeka-rhinstraße-rhinstr.-17/index.jsp,,Mo-Fr 07:00-24:00; Sa 07:00-23:30,,EDEKA Mi-Ha Stiftung & Co. KG,yes,
42347083,way,Edeka Stepaniak,Edeka,52.4881659,13.3347548,supermarket,Berliner Straße,2,10715,Berlin,,,,Mo-Fr 08:00-20:00; Sa 08:00-18:00,,,limited,
